啊不	à,bù
不降	bú,jiàng
不叫	bú,
不教	bú,jiào
补觉	,jiào
不嚼	bù,jiáo
不借	bú,
不戒	bú,
不禁	bù,jīn
不尽	bú,jìn
不进	bú,
不近	bú,
不敬	bú,
不净	bú,jìng
不静	bú,
不就	bú,
不救	bú,
不旧	bú,
不具	bú,
不惧	bú,
不拒	bú,
卜居	bǔ,
不倦	bú,
不看	bú,kàn
不抗	bú,
不亢	bú,
不靠	bú,
不克	bú,
不氪	bú,
不扣	bú,
不酷	bú,
不跨	bú,
不快	bú,
不愧	bú,
不困	bú,
不辣	bú,
不啦	bù,lā
不赖	bú,
不烂	bú,
不浪	bú,
不乐	bú,lè
不累	bú,lèi
不类	bú,
不利	bú,
不力	bú,
埔里	bù,
不立	bú,
不练	bú,
不恋	bú,
不亮	bú,
不靓	bú,liàng
不料	bú,
不列	bú,
不烈	bú,
不吝	bú,
不另	bú,
不漏	bú,
不露	bú,lù
不录	bú,
不乱	bú,
不论	bú,lùn
不落	bú,luò
不绿	bú,lǜ
不骂	bú,
不卖	bú,
不迈	bú,
不慢	bú,
不冒	bú,mào
不寐	bú,
不闷	bú,mèn
不密	bú,
不妙	bú,
不灭	bú,
不睦	bú,
不慕	bú,
不纳	bú,
不耐	bú,
不闹	bú,
不嫩	bú,
不腻	bú,
不匿	bú,
不念	bú,
不弄	bú,nòng
不怒	bú,
不虐	bú,
不哦	bù,o
不怕	bú,
不派	bú,
不判	bú,
不胖	bú,pàng
不泡	bú,pào
不配	bú,
不碰	bú,
不骗	bú,
不破	bú,
不铺	bù,pū
不弃	bú,
不气	bú,
不欠	bú,
不切	bú,qiè
不去	bú,
部曲	,qū
不确	bú,
不让	bú,
不热	bú,
不认	bú,
不韧	bú,
不日	bú,
不入	bú,
不弱	bú,
不若	bú,ruò
不散	bú,sàn
不涩	bú,
不晒	bú,
不善	bú,
不上	bú,shàng
不设	bú,
不射	bú,shè
不涉	bú,
不赦	bú,
不慎	bú,
不甚	bú,shèn
不渗	bú,
不胜	bú,
不剩	bú,
不盛	bú,shèng
不是	bú,
不适	bú,shì
布什	,shí
不试	bú,
不事	bú,
不仕	bú,
卜筮	bǔ,
不世	bú,
不视	bú,
不受	bú,
不瘦	bú,
不售	bú,
不寿	bú,
不帅	bú,
不睡	bú,
不顺	bú,
不四	bú,
不似	bú,sì
不送	bú,
不诉	bú,
不算	bú,
卜算	bǔ,
不碎	bú,
不遂	bù,suí
不太	bú,
不烫	bú,
不特	bú,
不替	bú,
不跳	bú,tiào
不痛	bú,
不透	bú,
不退	bú,
不囤	bù,tún
不外	bú,
不忘	bú,
不旺	bú,
不为	bú,wèi
不畏	bú,
不谓	bú,
不喂	bú,
不问	bú,
不误	bú,
不悟	bú,
不细	bú,
不系	bú,xì
不下	bú,
不限	bú,
不羡	bú,
不像	bú,
不向	bú,
不孝	bú,
不笑	bú,
不肖	bú,xiào
不效	bú,
不谢	bú,
不屑	bú,
不懈	bú,
不信	bú,xìn
埔心	bù,
不幸	bú,
不锈	bú,
不续	bú,
不恤	bú,
不逊	bú,
不厌	bú,
埔盐	bù,
不要	bú,yào
不夜	bú,
不易	bú,
不一	bù,yī
不义	bú,
不亦	bú,
不意	bú,
不异	bú,
不印	bú,
不应	bù,yīng
不硬	bú,
不用	bú,
不遇	bú,
不育	bú,
不愈	bú,
不欲	bú,
不豫	bú,
不愿	bú,
不怨	bú,
不悦	bú,
不孕	bú,
不在	bú,
不再	bú,
不载	bú,zài
不赞	bú,
不造	bú,
不燥	bú,
不躁	bú,
不占	bú,zhàn
不战	bú,
不站	bú,
部长	,zhǎng
不着	bù,zháo
不照	bú,
不振	bú,
不正	bú,zhèng
不治	bú,
不致	bú,
不至	bú,
不智	bú,
不置	bú,
不重	bú,zhòng
补种	,zhòng
不皱	bú,
不住	bú,
不赚	bú,
不坠	bú,
堡子	bǔ,
不揍	bú,
不醉	bú,
不做	bú,
不作	bú,zuò
不坐	bú,
嚓嚓	cā,cā
擦干	,gān
裁处	,chǔ
才得	,dé
采地	cài,dì
才调	,diào
彩调	,diào
猜度	,duó
才分	,fèn
裁缝	,féng
才将	,jiàng
财会	,kuài
裁切	,qiē
才为	,wèi
采血	cǎi,xiě
采邑	cài,
财长	,zhǎng
猜着	,zháo
猜中	,zhòng
踩中	,zhòng
掺半	càn,
掺到	càn,
掺点	càn,
掺乎	càn,
参将	cān,jiàng
参校	cān,jiào
掺进	càn,
残卷	,juàn
掺了	càn,le
残血	,xiě
掺有	càn,yǒu
参与	cān,yù
掺着	càn,zhe
藏干	cáng,gān
苍劲	,jìng
苍术	,zhú
草舍	,shè
草率	,shuài
曹一	,yī
草长	,zhǎng
测度	,duó
测量	,liáng
侧切	cè,qiē
参差	cēn,cī
岑参	,shēn
曾为	céng,wèi
差别	chā,bié
查查	chá,cha
茶匙	,chí
差池	chā,
查重	chá,chóng
查处	chá,chǔ
差错	chā,
差动	chā,
差额	chā,
差分	chā,fēn
茶干	,gān
茶行	,háng
茶几	,jī
差价	chā,jià
差距	chā,
叉开	chǎ,
差可	chā,kě
插空	,kòng
刹那	chà,nà
差热	chā,
刹时	chà,
差数	chā,shù
叉腿	chǎ,
差异	chā,
差一	chà,yī
差值	chā,
差吏	chāi,
差旅	chāi,
差遣	chāi,
差人	chāi,
差事	chāi,
差使	chāi,
差饷	chāi,
差役	chāi,
铲斗	,dǒu
掺混	chān,hún
掺和	chān,huo
搀和	,huo
产假	,jià
单于	chán,
常得	,děi
长调	cháng,diào
昌都	,dū
长发	cháng,fà
唱和	,hè
偿还	,huán
长假	cháng,jià
唱将	,jiàng
长卷	cháng,juàn
唱片	,piān
倘佯	cháng,
倡优	chāng,
场雨	cháng,yǔ
场院	cháng,
厂长	chǎng,zhǎng
潮差	,chā
吵吵	chāo,chao
超调	,diào
炒干	,gān
抄没	,mò
朝鲜	cháo,xiǎn
车行	chē,háng
车骑	chē,jì
车削	chē,xiāo
沈沈	chén,chén
趁空	,kòng
沉没	,mò
称身	chèn,
称手	chèn,
称体	chèn,tǐ
称心	chèn,
称愿	chèn,
陈朝	,zhāo
称职	chèn,
沈重	chén,zhòng
沉着	,zhuó
盛菜	chéng,
铛铛	chēng,chēng
惩处	,chǔ
盛出	chéng,
成都	,dū
城垛	,duǒ
盛饭	chéng,
盛放	chéng,
成分	,fèn
秤杆	,gǎn
蛏干	,gān
成行	,háng
盛好	chéng,hǎo
乘间	chéng,jiàn
盛酒	chéng,
称量	chēng,liáng
盛满	chéng,
盛器	chéng,
城阙	,què
盛入	chéng,
盛上	chéng,shàng
盛水	chéng,
盛汤	chéng,tāng
盛碗	chéng,
丞相	,xiàng
乘兴	chéng,xìng
成宿	,xiǔ
惩艾	,yì
成长	,zhǎng
齿数	,shǔ
吃相	,xiàng
吃血	,xiě
匙子	chí,
重安	chóng,
重瓣	chóng,
重版	chóng,
重编	chóng,
重播	chóng,
重操	chóng,
重唱	chóng,
重抄	chóng,
重重	chóng,chóng
重出	chóng,
重传	chóng,chuán
冲床	chòng,
重唇	chóng,
重打	chóng,dǎ
重蹈	chóng,
重到	chóng,
重登	chóng,
冲调	chōng,diào
重叠	chóng,
重订	chóng,
重定	chóng,
重读	chóng,dú
重夺	chóng,
重发	chóng,fā
重返	chóng,
重访	chóng,
重放	chóng,
充分	,fèn
重逢	chóng,
重复	chóng,
重根	chóng,
重构	chóng,
重估	chóng,gū
重光	chóng,
重归	chóng,
重号	chóng,hào
重合	chóng,hé
重湖	chóng,
重划	chóng,huà
重华	chóng,huá
重回	chóng,
重绘	chóng,
重婚	chóng,
重获	chóng,
重价	chóng,jià
重建	chóng,
重睑	chóng,
重见	chóng,jiàn
重交	chóng,
冲劲	chòng,jìn
重进	chóng,
重九	chóng,
重聚	chóng,
重开	chóng,
重考	chóng,
冲孔	chòng,
重来	chóng,
重连	chóng,
重练	chóng,
重楼	chóng,
重码	chóng,
重门	chóng,
重名	chóng,
重明	chóng,
冲模	chòng,mú
重排	chóng,pái
重拍	chóng,
重跑	chóng,pǎo
重启	chóng,
重起	chóng,
重签	chóng,
冲切	chōng,qiē
重庆	chóng,
重燃	chóng,
重熔	chóng,
重入	chóng,
重赛	chóng,
充塞	,sè
重山	chóng,
重上	chóng,shàng
重设	chóng,
重申	chóng,
重审	chóng,
重身	chóng,
重生	chóng,
重拾	chóng,shí
重试	chóng,
重施	chóng,
重输	chóng,
重述	chóng,
重数	chóng,shù
重刷	chóng,shuā
重说	chóng,shuō
重塑	chóng,
重算	chóng,
重孙	chóng,sūn
重弹	chóng,tán
重提	chóng,tí
重题	chóng,
重填	chóng,tián
重听	chóng,
重瞳	chóng,
重头	chóng,
重涂	chóng,
重玩	chóng,
重围	chóng,
重味	chóng,
重温	chóng,
重文	chóng,
重午	chóng,
重熙	chóng,
重洗	chóng,xǐ
重下	chóng,
重现	chóng,
重霄	chóng,
重写	chóng,
重新	chóng,
重行	chóng,xíng
重修	chóng,
重续	chóng,
重选	chóng,xuǎn
重学	chóng,
冲压	chòng,yā
重演	chóng,
重檐	chóng,
重言	chóng,
重阳	chóng,
重样	chóng,
重洋	chóng,
重医	chóng,
重译	chóng,
重印	chóng,
重影	chóng,
重映	chóng,
重游	chóng,
重遇	chóng,
重圆	chóng,
重约	chóng,yuē
重振	chóng,
重整	chóng,
重置	chóng,
重制	chóng,
重治	chóng,
重铸	chóng,
重装	chóng,
重走	chóng,
重奏	chóng,
重组	chóng,
重做	chóng,
抽调	,diào
抽干	,gān
臭干	chòu,gān
酬和	,hè
稠糊	,hū
丑角	,jué
抽血	,xiě
抽中	,zhòng
出差	,chāi
处罚	chǔ,
处方	chǔ,
处分	chǔ,fèn
初更	,gēng
处境	chǔ,
处决	chǔ,
出落	,là
处理	chǔ,
出没	,mò
处男	chǔ,
处女	chǔ,nǚ
出塞	,sài
处身	chǔ,
处事	chǔ,
处世	chǔ,
处士	chǔ,
处暑	chǔ,
处死	chǔ,
出血	,xiě
处刑	chǔ,
处以	chǔ,
初一	,yī
处于	chǔ,
处在	chǔ,
处斩	chǔ,
处长	chù,zhǎng
处置	chǔ,
处治	chǔ,
处子	chǔ,
揣度	chuǎi,duó
揣进	chuāi,
揣着	chuāi,zhe
串供	,gòng
喘咳	,hāi
船行	,háng
船难	,nàn
传切	chuán,qiē
川藏	,zàng
船长	,zhǎng
船只	,zhī
幢幢	chuáng,chuáng
创痕	chuāng,
闯将	,jiàng
创口	chuāng,
创面	chuāng,
创伤	chuāng,
创痛	chuāng,
椎板	chuí,
垂发	,fà
吹干	,gān
椎弓	chuí,
椎管	chuí,
椎间	chuí,jiān
吹弹	,tán
春华	,huā
春假	,jià
纯为	,wèi
纯一	,yī
春一	,yī
春种	,zhòng
戳一	,yī
戳中	,zhòng
词重	,chóng
词调	,diào
瓷都	,dū
刺啦	cī,lā
刺溜	cī,liū
刺参	cì,shēn
刺血	cì,xiě
此一	,yī
次长	,zhǎng
刺中	cì,zhòng
从一	cóng,yī
凑合	,he
猝倒	,dǎo
粗呢	,ní
粗率	,shuài
卒中	cù,zhòng
攒动	cuán,
催还	,huán
摧折	,shé
脆炸	,zhá
忖度	,duó
村堡	,pù
村舍	,shè
村长	,zhǎng
错处	,chǔ
错行	,háng
大埔	dà,bù
打场	dǎ,cháng
大椎	dà,chuí
打倒	dǎ,dǎo
打的	dǎ,dī
大调	dà,diào
搭调	,diào
打更	dǎ,gēng
大贾	dà,gǔ
大喝	dà,hè
大哗	dà,huá
大将	dà,jiàng
大觉	dà,jiào
答卷	dá,juàn
大卷	dà,juàn
耷拉	,la
打擂	dǎ,lèi
答理	dā,
打量	dǎ,liang
大溜	dà,liù
大难	dà,nàn
大切	dà,qiē
大曲	dà,qū
大舍	dà,shè
大率	dà,shuài
打券	dǎ,xuàn
大一	dà,yī
打一	dǎ,yī
答应	dā,yìng
大宛	dà,yuān
答允	dā,
大藏	dà,zàng
打颤	dǎ,zhàn
打中	dǎ,zhòng
逮捕	dài,
大城	dài,
带调	,diào
大夫	dài,fū
待够	dāi,
代还	,huán
待还	dài,huán
待会	dāi,huì
待了	dāi,le
带血	,xiě
大盂	dài,
逮着	dǎi,zháo
单薄	dān,bó
淡泊	,bó
淡薄	,bó
澹泊	dàn,bó
但得	,děi
单调	dān,diào
耽搁	,ge
石谷	dàn,
旦角	,jué
丹棱	,líng
丹参	,shēn
单一	dān,yī
但应	,yīng
单只	dān,zhī
膻中	dàn,zhōng
担子	dàn,
当差	dāng,chāi
当成	dàng,
当行	dāng,háng
当户	dàng,
当间	dāng,jiàn
当铺	dàng,pù
党参	,shēn
当是	dàng,
当天	dàng,
当晚	dàng,
当夜	dàng,
当月	dàng,
当真	dàng,
当作	dàng,zuò
当做	dàng,
刀把	,bà
倒把	dǎo,bǎ
倒班	dǎo,
倒板	dǎo,
倒闭	dǎo,
倒毙	dǎo,
倒仓	dǎo,
倒床	dǎo,
倒垂	dǎo,
倒错	dǎo,
叨叨	dāo,dao
倒地	dǎo,dì
倒翻	dǎo,
倒反	dǎo,
倒风	dǎo,fēng
倒伏	dǎo,
倒戈	dǎo,
倒阁	dǎo,
叨咕	dáo,
道观	,guàn
倒还	dǎo,hái
倒好	dǎo,hǎo
道行	,héng
倒换	dǎo,
倒卷	dǎo,juàn
叨唠	dāo,lao
倒卖	dǎo,
倒霉	dǎo,
倒模	dǎo,mó
倒弄	dǎo,nòng
倒票	dǎo,piào
刀切	,qiē
倒嗓	dǎo,
倒手	dǎo,
倒数	dào,shǔ
倒算	dǎo,
倒塌	dǎo,
倒台	dǎo,tái
倒腾	dǎo,
倒头	dǎo,
倒胃	dǎo,
倒卧	dǎo,
倒下	dǎo,
倒想	dǎo,
刀削	,xiāo
倒行	dǎo,xíng
倒休	dǎo,xiū
倒序	dǎo,
倒牙	dǎo,
倒爷	dǎo,
倒运	dǎo,
倒栽	dǎo,
道藏	,zàng
倒灶	dǎo,
道长	,zhǎng
倒着	dǎo,zhe
得癌	dé,
得熬	dé,áo
得宝	dé,
得比	dé,
得便	dé,biàn
得标	dé,
得病	dé,
得不	dé,bù
得偿	dé,
得车	dé,chē
得逞	dé,
得吃	dé,
得宠	dé,
得出	dé,
得此	dé,
得从	dé,cóng
得当	dé,dàng
得到	dé,
得道	dé,
得的	dé,de
得点	dé,
得动	dé,
德都	,dū
得法	dé,
得分	dé,fēn
得福	dé,
得改	dé,
得搞	dé,
得个	dé,gè
得给	dé,gěi
得跟	dé,
得够	dé,
得挂	dé,
得管	dé,
得过	dé,guò
得果	dé,
的行	de,háng
得好	dé,hǎo
得换	dé,
得慌	dé,
得计	dé,
得见	dé,jiàn
得间	dé,jiàn
得奖	dé,
得叫	dé,
得紧	dé,
得救	dé,
得就	dé,
得开	dé,
得看	dé,kàn
得考	dé,
得空	dé,kōng
得快	dé,
得款	dé,
得啦	dé,la
地来	de,
得乐	dé,lè
得嘞	dé,lei
得力	dé,
得利	dé,
得脸	dé,
得聊	dé,
得禄	dé,
得路	dé,
得买	dé,
得卖	dé,
得慢	dé,
得忙	dé,
得美	dé,
得免	dé,
得名	dé,
得你	dé,
得弄	dé,nòng
得配	dé,
得陪	dé,
得票	dé,piào
得凭	dé,
得起	dé,
得其	dé,qí
得清	dé,
得轻	dé,
得球	dé,
得让	dé,
得扔	dé,
得荣	dé,
得入	dé,
得三	dé,
得瑟	dé,
得上	dé,shàng
得少	dé,shǎo
得胜	dé,
得生	dé,
得失	dé,
得势	dé,
得食	dé,shí
得手	dé,
得书	dé,
得水	dé,
得说	dé,shuō
得算	dé,
得躺	dé,
得体	dé,tǐ
得通	dé,tōng
得晚	dé,
得往	dé,
得为	dé,wéi
得问	dé,
得我	dé,
得物	dé,
得悉	dé,
得下	dé,
得先	dé,
得闲	dé,
得想	dé,
得象	dé,
得享	dé,
得心	dé,
得学	dé,
得以	dé,
得意	dé,
得一	dé,yī
得益	dé,
得宜	dé,
得有	dé,yǒu
得由	dé,
得于	dé,
得遇	dé,
得愈	dé,
得在	dé,
得赞	dé,
得早	dé,
得找	dé,
得着	de,zháo
得证	dé,
得知	dé,zhī
得之	dé,
得志	dé,
得州	dé,
得主	dé,
得住	dé,
得赚	dé,
得准	dé,
得子	dé,
得走	dé,
得罪	dé,
得做	dé,
得把	děi,bǎ
得等	děi,
得懂	děi,
得劲	děi,jìn
得亏	děi,
得去	děi,
得听	děi,
得用	děi,
得治	děi,
蹬蹬	dèng,dèng
登载	,zǎi
地处	dì,chǔ
滴答	,dā
嘀嗒	dī,dā
弟弟	dì,di
低调	,diào
帝都	,dū
提防	dī,
滴干	,gān
的哥	dī,
递解	,jiè
提溜	dī,liū
的卢	dì,
地壳	dì,qiào
的确	dí,
地煞	dì,shà
地参	dì,shēn
的士	dī,
